Trigger_Date,2023/06/19
Trigger_Time,T 13:00:04.255 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.570
Time (ms),Voltage (V),Current (A)
-9.93,-156.49,-14.251
-9.9,-153.998,-14.113
-9.87,-151.295,-13.77
-9.84,-148.418,-13.518
-9.8,-145.68,-13.334
-9.77,-142.943,-12.933
-9.74,-139.995,-12.693
-9.71,-137.187,-12.464
-9.67,-134.309,-12.166
-9.64,-131.572,-11.971
-9.61,-128.764,-11.593
-9.58,-125.816,-11.215
-9.54,-122.552,-10.929
-9.51,-119.254,-10.585
-9.48,-115.884,-10.31
-9.45,-112.901,-9.955
-9.41,-109.883,-9.531
-9.38,-106.689,-9.096
-9.35,-103.285,-8.718
-9.31,-99.811,-8.363
-9.28,-96.231,-7.973
-9.25,-92.686,-7.549
-9.22,-89.177,-7.171
-9.18,-85.667,-6.747
-9.15,-82.088,-6.346
-9.12,-78.613,-5.888
-9.09,-75.104,-5.51
-9.05,-71.524,-5.304
-9.02,-68.05,-5.052
-8.99,-64.435,-4.708
-8.96,-60.925,-4.445
-8.92,-57.697,-4.284
-8.89,-54.433,-3.906
-8.86,-50.888,-3.677
-8.83,-47.343,-3.528
-8.79,-43.974,-3.276
-8.76,-40.43,-3.001
-8.73,-37.376,-2.795
-8.7,-38.78,-1.821
-8.66,-43.939,-0.057
-8.63,-38.57,1.409
-8.6,-28.568,0.882
-8.57,-25.409,0.206
-8.53,-23.654,0.355
-8.5,-18.039,1.18
-8.47,-6.387,1.558
-8.44,4.282,1.146
-8.4,10.529,0.47
-8.37,13.301,0.573
-8.34,18.951,0.515
-8.31,15.863,0.962
-8.27,12.389,1.821
-8.24,18.179,2.119
-8.21,22.18,1.627
-8.18,24.883,0.722
-8.14,26.041,0.642
-8.11,28.006,0.962
-8.08,30.919,1.661
-8.04,35.516,2.257
-8.01,40.43,2.52
-7.98,45.062,2.543
-7.95,48.572,2.543
-7.91,51.765,2.543
-7.88,54.643,2.749
-7.85,57.661,2.91
-7.82,60.75,3.127
-7.78,64.014,3.391
-7.75,67.278,3.528
-7.72,70.471,3.7
-7.69,73.56,3.849
-7.65,76.683,3.975
-7.62,79.877,4.181
-7.59,83.105,4.422
-7.56,86.264,4.662
-7.52,89.598,4.892
-7.49,92.792,5.052
-7.46,95.705,5.235
-7.43,98.267,5.487
-7.39,100.934,5.819
-7.36,103.882,6.175
-7.33,106.9,6.507
-7.3,109.918,6.782
-7.26,112.901,7.091
-7.23,116.06,7.503
-7.2,119.324,7.836
-7.17,122.342,8.145
-7.13,125.36,8.534
-7.1,128.554,8.821
-7.07,131.572,9.21
-7.04,134.731,9.68
-7.0,137.784,10.047
-6.97,140.767,10.31
-6.94,143.715,10.573
-6.9,146.558,10.883
-6.87,149.576,11.089
-6.84,152.524,11.261
-6.81,155.507,11.616
-6.77,158.49,11.879
-6.74,161.333,12.177
-6.71,164.07,12.487
-6.68,166.843,12.693
-6.64,169.65,12.876
-6.61,172.388,13.14
-6.58,175.336,13.609
-6.55,178.529,14.067
-6.51,181.793,14.388
-6.48,184.846,14.801
-6.45,187.514,15.064
-6.42,190.076,15.362
-6.38,192.673,15.637
-6.35,195.059,15.637
-6.32,197.305,15.797
-6.29,199.516,15.969
-6.25,201.622,15.832
-6.22,203.658,15.854
-6.19,205.553,15.832
-6.16,207.202,15.614
-6.12,208.711,15.58
-6.09,210.291,15.476
-6.06,211.729,15.385
-6.03,213.379,15.465
-5.99,215.169,15.499
-5.96,216.783,15.465
-5.93,218.257,15.648
-5.9,219.872,15.832
-5.86,221.451,15.832
-5.83,223.135,16.026
-5.8,224.82,16.187
-5.76,226.294,16.347
-5.73,227.908,16.645
-5.7,229.698,16.977
-5.67,231.699,17.286
-5.63,233.418,17.516
-5.6,234.822,17.756
-5.57,236.436,18.077
-5.54,238.297,18.455
-5.5,239.911,18.501
-5.47,241.174,18.581
-5.44,242.754,19.028
-5.41,244.438,19.096
-5.37,245.667,19.165
-5.34,246.895,19.543
-5.31,248.439,19.646
-5.28,249.878,19.749
-5.24,251.141,20.082
-5.21,252.65,20.345
-5.18,254.23,20.563
-5.15,255.634,20.803
-5.11,256.932,20.952
-5.08,258.02,21.147
-5.05,259.319,21.296
-5.02,260.652,21.422
-4.98,261.67,21.502
-4.95,262.617,21.685
-4.92,263.846,21.96
-4.89,265.355,22.189
-4.85,266.689,22.338
-4.82,267.706,22.522
-4.79,268.619,22.751
-4.76,269.707,22.911
-4.72,270.9,23.049
-4.69,272.058,23.197
-4.66,273.041,23.358
-4.62,274.129,23.553
-4.59,275.146,23.633
-4.56,275.989,23.782
-4.53,276.585,24.034
-4.49,277.287,24.125
-4.46,278.059,24.194
-4.43,278.796,24.446
-4.4,279.533,24.458
-4.36,280.2,24.4
-4.33,280.762,24.481
-4.3,281.358,24.607
-4.27,281.779,24.526
-4.23,281.885,24.446
-4.2,282.376,24.572
-4.17,282.973,24.675
-4.14,283.218,24.572
-4.1,282.622,24.366
-4.07,281.779,24.102
-4.04,281.183,23.736
-4.01,280.832,23.369
-3.97,280.341,22.98
-3.94,279.639,22.705
-3.91,278.972,22.625
-3.88,278.516,22.613
-3.84,278.094,22.545
-3.81,277.603,22.545
-3.78,277.287,22.648
-3.75,276.901,22.739
-3.71,276.55,22.911
-3.68,276.445,23.071
-3.65,276.27,23.094
-3.62,275.743,23.14
-3.58,274.901,23.209
-3.55,274.059,23.026
-3.52,273.041,22.819
-3.48,271.848,22.625
-3.45,270.795,22.419
-3.42,269.672,22.235
-3.39,268.408,22.018
-3.35,266.829,21.708
-3.32,265.215,21.502
-3.29,263.811,21.227
-3.26,262.126,20.929
-3.22,260.442,20.712
-3.19,258.792,20.402
-3.16,257.108,20.127
-3.13,255.318,19.864
-3.09,253.458,19.635
-3.06,251.527,19.417
-3.03,249.597,19.268
-3.0,247.702,19.165
-2.96,245.596,18.833
-2.93,243.456,18.65
-2.9,241.595,18.604
-2.87,239.735,18.352
-2.83,237.665,18.203
-2.8,235.594,18.214
-2.77,233.594,18.02
-2.74,231.488,17.871
-2.7,229.593,17.974
-2.67,227.873,17.836
-2.64,225.978,17.722
-2.61,223.907,17.745
-2.57,221.837,17.63
-2.54,219.696,17.573
-2.51,217.59,17.55
-2.48,215.555,17.447
-2.44,213.625,17.355
-2.41,211.694,17.458
-2.38,209.659,17.321
-2.35,207.623,17.321
-2.31,205.833,17.493
-2.28,203.973,17.241
-2.25,201.833,17.195
-2.21,199.692,17.298
-2.18,197.446,17.046
-2.15,195.41,17.011
-2.12,193.62,17.069
-2.08,191.725,16.828
-2.05,189.69,16.782
-2.02,187.759,16.817
-1.99,185.478,16.53
-1.95,183.092,16.645
-1.92,180.916,16.588
-1.89,178.67,16.347
-1.86,176.599,16.29
-1.82,174.493,16.129
-1.79,172.107,15.866
-1.76,169.685,15.751
-1.73,167.264,15.58
-1.69,164.772,15.339
-1.66,162.14,14.949
-1.63,159.543,14.778
-1.6,156.911,14.514
-1.56,154.349,14.319
-1.53,151.822,14.159
-1.5,149.33,13.838
-1.47,146.698,13.632
-1.43,143.82,13.392
-1.4,140.942,12.956
-1.37,138.029,12.704
-1.34,135.081,12.441
-1.3,132.239,12.154
-1.27,129.466,11.845
-1.24,126.553,11.467
-1.21,123.5,11.112
-1.17,120.131,10.688
-1.14,116.656,10.31
-1.11,113.463,10.035
-1.07,110.339,9.703
-1.04,107.076,9.336
-1.01,103.671,8.878
-0.98,100.267,8.5
-0.94,96.758,8.156
-0.91,93.213,7.606
-0.88,89.633,7.217
-0.85,85.983,6.805
-0.81,82.439,6.461
-0.78,79.105,6.152
-0.75,75.595,5.67
-0.72,71.875,5.407
-0.68,68.401,5.178
-0.65,65.067,4.857
-0.62,61.662,4.548
-0.59,58.258,4.296
-0.55,54.749,3.987
-0.52,51.309,3.746
-0.49,47.835,3.551
-0.46,44.431,3.322
-0.42,40.921,3.196
-0.39,37.903,2.967
-0.36,37.657,2.245
-0.33,42.676,0.928
-0.29,42.921,-0.916
-0.26,33.27,-1.375
-0.23,25.655,-0.699
-0.2,22.461,-0.344
-0.16,18.706,-0.871
-0.13,9.125,-1.512
-0.1,-2.597,-1.455
-0.07,-11.371,-0.79
-0.03,-14.705,-0.447
0.0,-18.46,-0.458
0.03,-17.442,-0.722
0.07,-13.477,-1.546
0.1,-17.793,-2.073
0.13,-22.672,-1.753
0.16,-25.76,-1.168
0.2,-27.374,-0.859
0.23,-29.129,-1.008
0.26,-31.761,-1.604
0.29,-35.902,-2.28
0.33,-40.605,-2.6
0.36,-45.062,-2.669
0.39,-48.853,-2.635
0.42,-52.011,-2.6
