Trigger_Date,2023/07/31
Trigger_Time,T 22:48:36.496 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.538
Time (ms),Voltage (V),Current (A)
-9.92,-203.061,-10.803
-9.89,-199.516,-10.608
-9.86,-195.831,-10.367
-9.83,-192.181,-10.127
-9.79,-188.286,-9.898
-9.76,-184.496,-9.657
-9.73,-180.6,-9.382
-9.7,-176.459,-9.164
-9.66,-172.423,-8.935
-9.63,-168.176,-8.752
-9.6,-164.0,-8.523
-9.57,-159.789,-8.271
-9.53,-155.507,-8.019
-9.5,-151.12,-7.778
-9.47,-146.873,-7.526
-9.44,-142.451,-7.309
-9.4,-137.994,-7.114
-9.37,-133.502,-6.908
-9.34,-128.905,-6.701
-9.31,-124.448,-6.495
-9.27,-119.991,-6.255
-9.24,-115.498,-5.991
-9.21,-111.006,-5.739
-9.18,-106.444,-5.533
-9.14,-101.846,-5.327
-9.11,-97.284,-5.132
-9.08,-92.757,-4.926
-9.05,-88.264,-4.685
-9.01,-83.772,-4.433
-8.98,-79.28,-4.17
-8.95,-74.753,-3.941
-8.92,-70.261,-3.723
-8.88,-65.733,-3.46
-8.85,-61.136,-3.253
-8.82,-56.573,-2.99
-8.79,-51.976,-2.761
-8.75,-47.308,-2.543
-8.72,-42.676,-2.348
-8.69,-38.043,-2.085
-8.66,-33.376,-1.925
-8.62,-28.918,-1.684
-8.59,-24.356,-1.455
-8.56,-19.794,-1.203
-8.53,-15.407,-0.985
-8.49,-10.844,-0.745
-8.46,-6.458,-0.584
-8.43,-2.036,-0.298
-8.39,2.492,-0.16
-8.36,7.124,0.046
-8.33,11.581,0.137
-8.3,16.214,0.584
-8.26,20.18,0.63
-8.23,23.83,1.398
-8.2,30.042,1.982
-8.17,32.814,1.959
-8.13,36.71,3.059
-8.1,42.535,3.185
-8.07,46.606,3.265
-8.04,50.537,3.54
-8.0,55.135,3.723
-7.97,59.03,3.769
-7.94,62.891,4.021
-7.91,66.962,4.158
-7.87,70.576,4.342
-7.84,74.121,4.605
-7.81,77.946,4.834
-7.78,81.631,4.972
-7.74,85.281,5.212
-7.71,89.072,5.464
-7.68,92.722,5.739
-7.65,96.336,6.037
-7.61,100.056,6.278
-7.58,103.636,6.495
-7.55,107.181,6.736
-7.52,110.831,6.942
-7.48,114.375,7.137
-7.45,117.885,7.412
-7.42,121.605,7.664
-7.39,125.325,7.87
-7.35,128.975,8.111
-7.32,132.695,8.385
-7.29,136.38,8.534
-7.26,139.328,8.637
-7.22,142.381,8.89
-7.19,146.452,9.199
-7.16,150.945,9.439
-7.13,155.367,9.714
-7.09,159.578,9.955
-7.06,163.228,10.184
-7.03,166.808,10.39
-7.0,170.387,10.573
-6.96,173.862,10.699
-6.93,177.055,10.906
-6.9,180.354,11.1
-6.87,183.618,11.318
-6.83,187.022,11.513
-6.8,189.619,11.696
-6.77,193.796,12.154
-6.74,197.165,11.994
-6.7,199.762,12.361
-6.67,203.482,12.555
-6.64,206.711,12.693
