Trigger_Date,2023/06/15
Trigger_Time,T 17:42:36.202 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.567
Time (ms),Voltage (V),Current (A)
-9.93,-168.738,-9.428
-9.9,-166.035,-9.268
-9.87,-163.368,-9.004
-9.84,-160.666,-8.844
-9.8,-158.771,-8.958
-9.77,-156.279,-8.615
-9.74,-152.489,-7.985
-9.7,-148.277,-8.042
-9.67,-145.119,-7.881
-9.64,-143.083,-7.813
-9.61,-141.048,-7.698
-9.57,-138.521,-7.366
-9.54,-135.362,-7.24
-9.51,-132.344,-7.068
-9.48,-129.361,-6.816
-9.44,-126.132,-6.564
-9.41,-122.693,-6.323
-9.38,-119.183,-6.037
-9.35,-115.569,-5.865
-9.31,-112.41,-5.739
-9.28,-109.602,-5.59
-9.25,-106.479,-5.27
-9.22,-102.408,-4.926
-9.18,-97.81,-4.582
-9.15,-92.897,-4.296
-9.12,-88.089,-4.009
-9.09,-83.702,-3.826
-9.05,-79.982,-3.723
-9.02,-76.648,-3.574
-8.99,-73.103,-3.391
-8.96,-69.559,-3.242
-8.92,-65.944,-3.104
-8.89,-62.505,-2.921
-8.86,-59.311,-2.749
-8.83,-56.012,-2.555
-8.79,-52.573,-2.303
-8.76,-48.958,-2.073
-8.73,-45.378,-1.902
-8.7,-41.904,-1.661
-8.66,-38.148,-1.375
-8.63,-34.288,-1.146
-8.6,-30.533,-0.974
-8.57,-27.199,-0.859
-8.53,-24.181,-0.722
-8.5,-21.338,-0.573
-8.47,-18.39,-0.401
-8.43,-15.407,-0.252
-8.4,-12.073,-0.046
-8.37,-8.598,0.16
-8.34,-5.089,0.298
-8.3,-1.79,0.401
-8.27,1.79,0.481
-8.24,5.405,0.584
-8.21,8.844,0.699
-8.17,11.897,0.916
-8.14,14.775,1.237
-8.11,17.407,1.661
-8.08,20.215,2.085
-8.04,24.356,2.577
-8.01,29.094,2.967
-7.98,33.867,3.185
-7.95,38.219,3.288
-7.91,42.044,3.402
