Trigger_Date,2023/06/26
Trigger_Time,T 08:17:56.275 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.545
Time (ms),Voltage (V),Current (A)
-9.67,-48.817,1.902
-9.63,-45.168,1.913
-9.6,-41.553,1.867
-9.57,-37.868,1.902
-9.54,-34.358,1.833
-9.5,-30.884,1.73
-9.47,-27.585,1.707
-9.44,-24.286,1.718
-9.41,-20.811,1.833
-9.37,-17.056,2.039
-9.34,-12.845,2.28
-9.31,-8.318,2.44
-9.28,-3.615,2.429
-9.24,0.912,2.314
-9.21,5.089,2.051
-9.18,8.704,1.776
-9.15,11.932,1.558
-9.11,14.915,1.443
-9.08,17.688,1.489
-9.05,20.671,1.615
-9.01,23.9,1.741
-8.98,27.339,1.799
-8.95,30.849,1.833
-8.92,34.428,1.879
-8.88,38.148,1.959
-8.85,42.079,2.096
-8.82,46.22,2.188
-8.79,50.291,2.154
-8.75,54.433,2.085
-8.72,58.328,1.959
-8.69,62.013,1.913
-8.66,65.768,1.97
-8.62,69.418,1.867
-8.59,72.787,1.661
-8.56,75.911,1.535
-8.53,78.929,1.558
-8.49,81.912,1.558
-8.46,84.966,1.569
-8.43,88.124,1.707
-8.4,91.669,1.936
-8.36,95.494,2.062
-8.33,99.46,2.016
-8.3,103.075,1.81
-8.27,106.444,1.673
-8.23,109.602,1.535
-8.2,112.515,1.489
-8.17,115.358,1.489
-8.14,118.236,1.501
-8.1,121.465,1.764
-8.07,124.974,1.89
-8.04,128.659,1.913
-8.01,132.239,1.833
-7.97,135.608,1.718
-7.94,138.977,1.684
-7.91,142.171,1.673
-7.88,145.505,1.787
-7.84,149.225,2.016
-7.81,153.085,2.016
-7.78,156.7,1.764
-7.75,159.929,1.638
-7.71,162.982,1.569
-7.68,165.895,1.42
-7.65,168.633,1.363
-7.62,171.405,1.478
-7.58,174.213,1.512
-7.55,177.161,1.546
-7.52,180.074,1.501
-7.49,182.776,1.352
-7.45,185.197,1.18
-7.42,187.654,1.26
-7.39,190.251,1.466
-7.36,193.269,1.615
-7.32,196.393,1.661
-7.29,199.551,1.661
-7.26,202.534,1.466
-7.22,205.026,1.18
-7.19,207.062,0.939
-7.16,208.887,0.871
-7.13,210.571,0.882
-7.09,212.291,0.916
-7.06,214.081,0.928
-7.03,215.941,0.997
-7.0,217.836,0.974
-6.96,219.485,0.779
-6.93,220.959,0.745
-6.9,222.644,0.928
-6.87,224.644,1.168
-6.83,227.031,1.34
-6.8,229.733,1.478
-6.77,232.681,1.615
-6.74,235.559,1.432
-6.7,237.805,0.962
-6.67,239.525,0.733
-6.64,240.929,0.733
-6.61,242.403,0.756
-6.57,243.842,0.733
-6.54,245.351,0.859
-6.51,247.176,1.042
-6.48,249.211,1.065
-6.44,250.896,0.768
-6.41,252.405,0.733
-6.38,254.089,1.031
-6.35,256.09,1.02
-6.31,257.95,0.962
-6.28,259.775,0.951
-6.25,261.88,1.168
-6.22,263.986,1.146
-6.18,265.881,0.848
-6.15,267.39,0.699
-6.12,268.864,0.756
-6.09,270.303,0.836
-6.05,272.023,0.905
-6.02,273.848,0.974
-5.99,275.392,0.745
-5.96,276.445,0.332
-5.92,277.112,0.321
-5.89,277.603,0.252
-5.86,278.165,0.344
-5.83,279.358,0.802
-5.79,281.148,1.111
-5.76,283.218,1.1
-5.73,285.324,1.088
-5.7,287.184,0.939
-5.66,288.658,0.584
-5.63,289.571,0.378
-5.6,290.413,0.435
-5.57,291.396,0.561
-5.53,292.519,0.642
-5.5,293.747,0.676
-5.47,294.975,0.619
-5.44,295.853,0.401
-5.4,296.449,0.183
-5.37,296.695,0.092
-5.34,296.87,0.069
-5.3,297.046,0.103
-5.27,297.607,0.47
-5.24,298.485,0.481
-5.21,299.011,0.115
-5.17,299.397,0.241
-5.14,299.924,0.321
-5.11,300.45,0.424
-5.08,300.906,0.321
-5.04,301.328,0.195
-5.01,301.714,0.321
-4.98,302.065,0.367
-4.95,301.959,0.195
-4.91,301.573,-0.241
-4.88,300.731,-0.733
-4.85,299.081,-0.951
-4.82,297.221,-0.997
-4.78,295.712,-0.699
-4.75,294.975,-0.069
-4.72,295.256,0.367
-4.69,295.888,0.355
-4.65,296.133,0.023
-4.62,295.677,-0.424
-4.59,294.344,-0.894
-4.56,292.203,-1.272
-4.52,289.922,-1.237
-4.49,287.921,-0.836
-4.46,286.623,-0.515
-4.43,285.71,-0.389
-4.39,284.903,-0.389
-4.36,284.061,-0.447
-4.33,283.008,-0.63
-4.3,281.674,-0.733
-4.26,280.446,-0.607
-4.23,279.533,-0.367
-4.2,278.796,-0.321
-4.17,278.059,-0.412
-4.13,277.007,-0.619
-4.1,275.497,-0.939
-4.07,273.462,-1.168
-4.04,271.216,-1.18
-4.0,269.005,-1.1
-3.97,267.004,-0.985
-3.94,265.25,-0.825
-3.91,263.705,-0.71
-3.87,262.091,-0.894
-3.84,260.091,-1.157
-3.81,257.845,-1.226
-3.78,255.634,-1.134
-3.74,253.387,-1.077
-3.71,251.492,-0.974
-3.68,250.229,-0.401
-3.65,249.562,-0.172
-3.61,248.685,-0.63
-3.58,247.035,-1.054
-3.55,244.965,-1.146
-3.51,242.543,-1.272
-3.48,239.876,-1.478
-3.45,237.138,-1.386
-3.42,234.787,-1.1
-3.38,232.857,-0.882
-3.35,231.102,-0.848
-3.32,229.453,-0.882
-3.29,227.768,-0.848
-3.25,226.048,-0.882
-3.22,224.294,-0.962
-3.19,222.398,-0.997
-3.16,220.328,-1.042
-3.12,218.222,-1.146
-3.09,215.765,-1.317
-3.06,213.063,-1.512
-3.03,210.08,-1.535
-2.99,207.272,-1.42
-2.96,204.745,-1.226
-2.93,202.57,-1.008
-2.9,200.815,-0.756
-2.86,199.516,-0.619
-2.83,198.042,-0.79
-2.8,196.112,-1.168
-2.77,193.761,-1.249
-2.73,190.742,-1.787
-2.7,187.268,-1.925
-2.67,184.109,-1.409
-2.64,181.548,-1.111
-2.6,178.951,-1.501
-2.57,176.108,-1.535
-2.54,173.405,-1.283
-2.51,170.844,-1.226
-2.47,167.79,-1.787
-2.44,164.211,-2.039
-2.41,160.736,-1.65
-2.38,157.648,-1.478
-2.34,155.051,-1.283
-2.31,152.734,-1.042
-2.28,150.523,-1.191
-2.25,147.856,-1.455
-2.21,144.803,-1.661
-2.18,141.399,-1.867
-2.15,137.679,-2.005
-2.12,133.818,-1.97
-2.08,130.063,-1.913
-2.05,126.448,-1.844
-2.02,122.903,-1.81
-1.99,119.464,-1.741
-1.95,116.13,-1.684
-1.92,113.042,-1.546
-1.89,110.129,-1.409
-1.86,107.321,-1.466
-1.82,104.163,-1.718
-1.79,100.513,-2.039
-1.76,96.196,-2.325
-1.72,91.493,-2.52
-1.69,86.615,-2.589
-1.66,81.842,-2.36
-1.63,77.982,-1.753
-1.59,75.174,-1.191
-1.56,72.998,-0.962
-1.53,70.927,-1.134
-1.5,68.471,-1.409
-1.46,65.312,-1.707
-1.43,61.417,-2.257
-1.4,56.609,-2.704
-1.37,51.45,-2.681
-1.33,46.571,-2.417
-1.3,42.009,-2.314
-1.27,37.727,-2.142
-1.24,33.797,-1.902
-1.2,30.287,-1.776
-1.17,26.848,-1.753
-1.14,23.549,-1.661
-1.11,20.461,-1.512
-1.07,17.653,-1.363
-1.04,15.126,-1.26
-1.01,12.704,-1.26
-0.98,10.072,-1.398
-0.94,7.159,-1.558
-0.91,3.931,-1.776
-0.88,0.211,-2.016
-0.85,-3.931,-2.245
-0.81,-8.282,-2.245
-0.78,-12.459,-2.108
-0.75,-16.53,-2.051
-0.72,-20.566,-2.142
-0.68,-24.707,-2.165
-0.65,-28.778,-2.051
-0.62,-32.674,-1.97
-0.59,-36.499,-1.982
-0.55,-40.254,-1.902
-0.52,-43.764,-1.764
-0.49,-47.133,-1.73
-0.46,-50.537,-1.73
-0.42,-53.731,-1.638
-0.39,-56.784,-1.512
-0.36,-59.767,-1.535
-0.33,-62.891,-1.673
-0.29,-66.19,-1.707
-0.26,-69.524,-1.73
-0.23,-73.068,-1.867
-0.2,-76.718,-1.925
-0.16,-80.333,-1.821
-0.13,-83.842,-1.81
-0.1,-87.492,-1.936
-0.07,-91.318,-1.982
-0.03,-95.143,-1.947
0.0,-98.898,-1.936
0.03,-102.583,-1.89
0.07,-106.058,-1.741
0.1,-109.216,-1.524
0.13,-112.129,-1.443
0.16,-114.972,-1.466
0.2,-117.955,-1.604
0.23,-121.219,-1.753
0.26,-124.869,-1.982
0.29,-128.764,-2.062
0.33,-132.765,-2.096
0.36,-136.52,-1.799
0.39,-140.065,-1.741
0.42,-143.645,-2.005
0.46,-147.119,-1.65
0.49,-150.278,-1.535
0.52,-153.506,-1.787
0.55,-156.595,-1.524
0.59,-159.543,-1.317
0.62,-162.315,-1.546
0.65,-165.369,-1.638
0.68,-168.492,-1.558
0.72,-171.581,-1.615
0.75,-174.669,-1.581
0.78,-177.406,-1.317
0.81,-179.512,-0.928
0.85,-180.951,-0.504
0.88,-181.723,-0.286
0.91,-182.355,-0.344
0.94,-183.653,-0.825
0.98,-186.075,-1.581
1.01,-189.865,-2.314
1.04,-194.638,-2.681
1.07,-199.727,-2.635
1.11,-204.43,-2.325
1.14,-208.571,-1.902
1.17,-211.729,-1.466
1.2,-214.362,-1.191
1.24,-216.608,-1.088
1.27,-218.573,-0.951
1.3,-220.293,-0.79
1.33,-221.626,-0.664
1.37,-222.82,-0.493
1.4,-223.592,-0.355
1.43,-224.504,-0.493
1.46,-225.768,-0.768
1.5,-227.452,-0.951
1.53,-229.453,-1.134
1.56,-231.804,-1.317
1.59,-234.19,-1.168
1.63,-236.331,-0.974
1.66,-237.875,-0.722
1.69,-239.139,-0.527
1.72,-240.508,-0.779
1.76,-242.017,-0.813
1.79,-243.771,-0.928
1.82,-245.982,-1.306
1.86,-248.65,-1.466
1.89,-251.212,-1.249
1.92,-253.493,-1.1
1.95,-255.598,-1.088
1.99,-257.529,-0.928
2.02,-259.108,-0.733
2.05,-260.582,-0.745
2.08,-262.196,-0.836
2.12,-263.67,-0.768
2.15,-265.004,-0.607
2.18,-266.162,-0.561
2.21,-267.32,-0.653
2.25,-268.689,-0.745
2.28,-270.338,-0.848
2.31,-272.058,-0.951
2.34,-273.918,-0.997
2.38,-275.462,-0.687
2.41,-276.48,-0.321
2.44,-277.182,-0.332
2.47,-278.094,-0.573
2.51,-279.463,-0.79
2.54,-281.183,-0.997
2.57,-283.289,-1.168
2.6,-285.464,-1.157
2.64,-287.36,-0.848
2.67,-288.623,-0.481
2.7,-289.5,-0.367
2.73,-290.273,-0.412
2.77,-291.22,-0.504
2.8,-292.343,-0.642
2.83,-293.677,-0.699
2.86,-294.905,-0.596
2.9,-295.677,-0.298
2.93,-296.133,-0.115
2.96,-296.204,-0.023
2.99,-296.169,0.069
3.03,-296.169,0.034
3.06,-296.66,-0.458
3.09,-297.467,-0.527
3.12,-297.888,0.103
3.16,-297.923,-0.023
3.19,-298.204,-0.332
3.22,-298.941,-0.367
3.25,-299.748,-0.481
3.29,-300.555,-0.412
3.32,-301.328,-0.493
3.35,-302.029,-0.573
3.38,-302.17,-0.699
3.42,-301.994,-0.63
3.45,-301.678,-0.195
3.48,-301.468,0.321
3.51,-300.485,0.71
3.55,-299.187,0.745
3.58,-298.029,0.493
3.61,-297.362,0.275
3.65,-296.765,0.275
3.68,-296.028,0.447
3.71,-294.905,0.687
3.74,-293.431,0.894
3.78,-291.606,1.02
3.81,-289.851,0.859
3.84,-288.623,0.435
3.87,-288.062,0.183
3.91,-287.605,0.206
3.94,-286.974,0.424
3.97,-285.745,0.768
4.0,-283.99,1.065
