Trigger_Date,2023/06/23
Trigger_Time,T 08:29:51.065 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.511
Time (ms),Voltage (V),Current (A)
-9.69,-73.454,0.676
-9.66,-70.12,0.825
-9.62,-66.154,0.928
-9.59,-62.013,0.939
-9.56,-58.083,0.859
-9.53,-54.398,0.768
-9.49,-50.888,0.779
-9.46,-47.063,0.882
-9.43,-43.167,0.871
-9.4,-39.412,0.813
-9.36,-35.692,0.848
-9.33,-31.656,0.951
-9.3,-27.444,0.962
-9.27,-23.268,0.894
-9.23,-19.478,0.825
-9.2,-15.863,0.802
-9.17,-12.248,0.813
-9.14,-8.528,0.859
-9.1,-4.703,0.871
-9.07,-0.912,0.825
-9.04,2.597,0.745
-9.01,5.791,0.699
-8.97,9.125,0.733
-8.94,12.704,0.859
-8.91,16.705,0.928
-8.88,20.776,0.894
-8.84,24.602,0.825
-8.81,28.252,0.802
-8.78,31.831,0.802
-8.75,35.306,0.745
-8.71,38.535,0.71
-8.68,41.658,0.664
-8.65,44.641,0.676
-8.62,48.01,0.779
-8.58,51.695,0.871
-8.55,55.521,0.848
-8.52,59.276,0.836
-8.49,63.031,0.848
-8.45,66.646,0.813
-8.42,70.296,0.802
-8.39,73.735,0.745
-8.36,76.718,0.596
-8.32,79.42,0.607
-8.29,82.544,0.756
-8.26,86.194,0.871
-8.23,90.16,0.916
-8.19,94.406,0.985
-8.16,98.688,0.939
-8.13,102.548,0.802
-8.1,105.637,0.619
-8.06,108.339,0.573
-8.03,110.936,0.607
-8.0,113.884,0.676
-7.97,117.183,0.813
-7.93,121.184,0.951
-7.9,125.465,0.962
-7.87,129.431,0.848
-7.84,132.484,0.55
-7.8,135.011,0.55
-7.77,137.538,0.607
-7.74,140.381,0.664
-7.71,143.82,0.871
-7.67,147.575,0.802
-7.64,151.401,0.905
-7.61,155.051,0.768
-7.58,157.823,0.47
-7.54,159.753,0.389
-7.51,162.175,0.642
-7.48,165.72,0.939
-7.44,170.001,0.985
-7.41,174.107,0.894
-7.38,177.757,0.733
-7.35,180.635,0.561
-7.31,182.565,0.355
-7.28,184.039,0.275
-7.25,185.619,0.412
-7.22,188.11,0.687
-7.18,191.655,0.882
-7.15,195.691,0.928
-7.12,199.551,0.836
-7.09,202.71,0.619
-7.05,204.851,0.344
-7.02,206.149,0.195
-6.99,207.202,0.252
-6.96,208.746,0.447
-6.92,211.273,0.664
-6.89,214.186,0.664
-6.86,216.783,0.515
