Trigger_Date,2023/06/28
Trigger_Time,T 10:07:11.227 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.544
Time (ms),Voltage (V),Current (A)
-8.88,54.678,6.919
-8.85,51.45,6.449
-8.82,48.326,5.991
-8.79,45.273,5.361
-8.75,41.869,4.846
-8.72,38.57,4.422
-8.69,35.376,3.895
-8.66,31.726,3.345
-8.62,28.111,2.852
-8.59,24.532,2.245
-8.56,20.601,1.661
-8.53,16.495,1.18
-8.49,12.354,0.802
-8.46,8.142,0.47
-8.43,3.58,0.206
-8.4,0.07,-0.034
-8.36,-0.421,-1.123
-8.33,-2.281,-2.749
-8.3,-5.615,-3.677
-8.27,-7.861,-4.284
-8.23,-10.739,-4.823
-8.2,-14.88,-5.189
-8.17,-19.864,-5.453
-8.14,-25.549,-5.682
-8.1,-30.989,-5.625
-8.07,-35.867,-5.212
-8.04,-39.728,-4.823
-8.01,-42.36,-4.949
-7.97,-44.781,-5.51
-7.94,-47.273,-6.175
-7.91,-49.203,-6.873
-7.88,-50.993,-7.664
-7.84,-53.415,-8.305
-7.81,-55.696,-8.981
-7.78,-58.398,-9.794
-7.75,-61.732,-10.528
-7.71,-65.347,-11.272
-7.68,-69.173,-12.04
-7.65,-73.384,-12.544
-7.62,-77.49,-13.025
-7.58,-81.491,-13.552
-7.55,-85.913,-13.907
-7.52,-89.563,-14.285
-7.49,-92.967,-14.823
-7.45,-96.898,-15.259
-7.42,-100.267,-15.534
-7.39,-102.759,-15.923
-7.35,-105.812,-16.37
-7.32,-108.69,-16.782
-7.29,-111.076,-17.332
-7.26,-114.024,-17.939
-7.22,-117.183,-18.569
-7.19,-120.096,-19.154
-7.16,-123.325,-19.612
-7.13,-126.799,-20.196
-7.09,-129.922,-20.723
-7.06,-133.432,-21.101
-7.03,-137.222,-21.708
-7.0,-140.205,-21.96
-6.96,-143.575,-22.338
-6.93,-146.838,-22.602
-6.9,-149.225,-22.797
-6.87,-151.962,-23.243
-6.83,-154.805,-23.656
-6.8,-156.981,-24.034
-6.77,-159.438,-24.549
-6.74,-162.596,-25.099
-6.7,-165.088,-25.454
-6.67,-167.615,-25.809
-6.64,-170.422,-26.176
-6.61,-172.774,-26.428
-6.57,-175.195,-26.691
-6.54,-177.898,-27.092
-6.51,-180.144,-27.505
-6.48,-182.6,-28.02
-6.44,-185.408,-28.478
-6.41,-187.97,-28.845
-6.38,-190.497,-29.189
-6.35,-193.199,-29.372
-6.31,-195.305,-29.429
-6.28,-197.34,-29.853
-6.25,-199.762,-30.162
-6.22,-201.692,-30.323
-6.18,-203.342,-30.644
-6.15,-205.307,-30.884
-6.12,-206.816,-30.953
-6.09,-208.255,-31.251
-6.05,-210.045,-31.537
-6.02,-211.694,-31.801
-5.99,-213.344,-32.293
-5.96,-215.379,-32.74
-5.92,-217.52,-33.072
-5.89,-219.591,-33.45
-5.86,-221.767,-33.645
-5.83,-223.943,-33.771
-5.79,-225.873,-34.115
-5.76,-228.014,-34.309
-5.73,-229.979,-34.344
-5.7,-231.769,-34.951
-5.66,-233.664,-35.134
-5.63,-235.313,-35.043
-5.6,-236.612,-35.329
-5.56,-238.226,-35.684
-5.53,-239.946,-35.925
-5.5,-241.385,-36.2
-5.47,-243.105,-36.566
-5.43,-244.965,-36.852
-5.4,-246.719,-37.105
-5.37,-248.509,-37.334
-5.34,-250.334,-37.437
-5.3,-251.878,-37.574
-5.27,-253.352,-37.803
-5.24,-255.002,-38.01
-5.21,-256.371,-38.227
-5.17,-257.774,-38.536
-5.14,-259.354,-38.708
-5.11,-260.652,-38.731
-5.08,-261.81,-38.811
-5.04,-263.074,-38.914
-5.01,-263.916,-39.029
-4.98,-264.934,-39.304
-4.95,-266.092,-39.499
-4.91,-267.145,-39.659
-4.88,-268.233,-39.945
-4.85,-269.601,-40.209
-4.82,-270.9,-40.392
-4.78,-272.163,-40.621
-4.75,-273.602,-40.736
-4.72,-274.901,-40.85
-4.69,-276.234,-41.16
-4.65,-277.638,-41.286
-4.62,-278.867,-41.309
-4.59,-279.814,-41.32
-4.56,-280.832,-41.286
-4.52,-281.464,-41.171
-4.49,-281.744,-41.137
-4.46,-282.06,-41.229
-4.43,-282.376,-41.412
-4.39,-282.552,-41.561
-4.36,-282.832,-41.664
-4.33,-283.183,-41.664
-4.3,-283.394,-41.733
-4.26,-283.604,-41.675
-4.23,-283.885,-41.698
-4.2,-284.026,-41.733
-4.17,-284.271,-41.698
-4.13,-284.692,-41.95
-4.1,-284.868,-41.881
-4.07,-284.868,-41.664
-4.04,-284.833,-41.618
-4.0,-284.622,-41.492
-3.97,-284.166,-41.206
-3.94,-283.604,-41.194
-3.91,-283.043,-41.217
-3.87,-282.411,-41.068
-3.84,-281.674,-40.988
-3.81,-280.832,-40.828
-3.78,-279.849,-40.541
-3.74,-278.656,-40.324
-3.71,-277.393,-40.083
-3.68,-276.094,-39.957
-3.64,-274.936,-40.049
-3.61,-273.918,-40.014
-3.58,-272.9,-39.842
-3.55,-271.883,-39.682
-3.51,-270.654,-39.327
-3.48,-269.286,-38.857
-3.45,-267.812,-38.628
-3.42,-266.302,-38.514
-3.38,-264.899,-38.388
-3.35,-263.53,-38.399
-3.32,-262.407,-38.262
-3.29,-261.179,-37.964
-3.25,-259.705,-37.666
-3.22,-258.231,-37.391
-3.19,-256.897,-37.127
