Trigger_Date,2023/07/06
Trigger_Time,T 15:49:23.422 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.563
Time (ms),Voltage (V),Current (A)
-1.01,0.07,0.023
-0.98,0.105,0.023
-0.94,0.07,0.011
-0.91,0.07,0.011
-0.88,0.105,0.011
-0.85,0.07,0.023
-0.81,0.105,0.011
-0.78,0.07,0.023
-0.75,0.105,0.023
-0.72,0.07,0.023
-0.68,0.07,0.023
-0.65,0.105,0.023
-0.62,0.07,0.011
-0.59,0.07,0.011
-0.55,0.105,0.011
-0.52,0.07,0.023
-0.49,0.07,0.011
-0.46,0.105,0.011
-0.42,0.105,0.023
-0.39,0.105,0.011
-0.36,0.07,0.023
-0.33,0.07,0.023
-0.29,0.105,0.011
-0.26,0.07,0.011
-0.23,0.07,0.011
-0.2,0.07,0.011
-0.16,0.07,0.011
-0.13,0.07,0.023
-0.1,0.105,0.023
-0.07,0.07,0.011
-0.03,0.07,0.023
0.0,0.105,0.023
0.03,0.07,0.023
0.07,0.07,0.011
0.1,0.07,0.011
0.13,0.07,0.011
0.16,0.035,0.023
0.2,0.105,0.011
0.23,0.105,0.023
0.26,0.07,0.023
0.29,0.07,0.023
0.33,0.07,0.011
0.36,0.14,0.023
0.39,0.07,0.023
0.42,0.07,0.023
0.46,0.07,0.023
0.49,0.07,0.011
0.52,0.07,0.023
0.55,0.14,0.023
0.59,0.07,0.023
0.62,0.14,0.023
0.65,0.07,0.011
0.68,0.07,0.023
0.72,0.07,0.023
0.75,0.07,0.011
0.78,0.07,0.011
0.81,0.105,0.023
0.85,0.07,0.011
0.88,0.14,0.011
0.91,0.105,0.011
0.94,0.14,0.011
0.98,0.07,0.023
1.01,0.07,0.011
1.04,0.105,0.011
1.07,0.105,0.011
1.11,0.07,0.011
1.14,0.105,0.011
1.17,0.07,0.011
1.2,0.07,0.023
1.24,0.105,0.023
1.27,0.07,0.011
1.3,0.07,0.011
1.34,0.105,0.011
1.37,0.105,0.023
1.4,0.07,0.023
1.43,0.035,0.023
1.47,0.07,0.011
1.5,0.105,0.011
1.53,0.07,0.011
1.56,0.07,0.023
1.6,0.105,0.011
1.63,0.07,0.011
1.66,0.07,0.011
1.69,0.07,0.023
1.73,0.105,0.023
1.76,0.07,0.011
1.79,0.14,0.011
1.82,0.07,0.011
1.86,0.07,0.011
1.89,0.105,0.011
1.92,0.07,0.011
1.95,0.14,0.011
1.99,0.07,0.011
2.02,0.105,0.011
2.05,0.07,0.011
2.08,0.105,0.023
2.12,0.07,0.011
2.15,0.07,0.023
2.18,0.07,0.011
2.21,0.105,0.023
2.25,0.07,0.011
2.28,0.105,0.011
2.31,0.07,0.011
2.34,0.07,0.011
2.38,0.105,0.011
2.41,0.07,0.011
2.44,0.14,0.023
2.47,0.07,0.011
2.51,0.105,0.023
2.54,0.14,0.023
2.57,0.07,0.011
2.61,0.07,0.023
2.64,0.07,0.023
2.67,0.105,0.011
2.7,0.07,0.011
2.74,0.07,0.011
2.77,0.07,0.023
2.8,0.175,0.011
2.83,0.07,0.011
2.87,0.105,0.011
2.9,0.105,0.023
2.93,0.07,0.023
2.96,0.105,0.023
3.0,0.07,0.023
3.03,0.07,0.023
3.06,0.07,0.011
3.09,0.07,0.011
3.13,0.105,0.011
3.16,0.07,0.023
3.19,0.07,0.011
3.22,0.105,0.011
3.26,0.105,0.023
3.29,0.14,0.011
3.32,0.07,0.023
3.35,0.105,0.023
3.39,0.105,0.023
3.42,0.07,0.023
3.45,0.07,0.023
3.48,0.07,0.011
3.52,0.07,0.011
3.55,0.07,0.023
3.58,0.07,0.023
3.61,0.07,0.011
3.65,0.105,0.011
3.68,0.07,0.023
3.71,0.07,0.011
3.74,0.07,0.011
3.78,0.07,0.011
3.81,0.105,0.011
3.84,0.105,0.011
3.88,0.07,0.011
3.91,0.07,0.011
3.94,0.105,0.011
3.97,0.105,0.011
4.01,0.07,0.011
4.04,0.07,0.011
4.07,0.105,0.011
4.1,0.07,0.011
4.14,0.105,0.011
4.17,0.07,0.011
4.2,0.07,0.023
4.23,0.07,0.023
4.27,0.07,0.011
4.3,0.07,0.023
4.33,0.14,0.011
4.36,0.07,0.011
4.4,0.07,0.023
4.43,0.07,0.011
4.46,0.07,0.023
4.49,0.07,0.023
4.53,0.105,0.011
4.56,0.105,0.011
4.59,0.07,0.011
4.62,0.07,0.023
4.66,0.105,0.011
4.69,0.07,0.011
4.72,0.105,0.023
4.75,0.105,0.011
4.79,0.07,0.023
4.82,0.105,0.023
4.85,0.07,0.023
4.88,0.07,0.023
4.92,0.14,0.011
4.95,0.14,0.011
4.98,0.07,0.011
5.01,0.105,0.011
5.05,0.07,0.011
5.08,0.105,0.023
5.11,0.105,0.011
5.14,0.07,0.011
5.18,0.07,0.023
5.21,0.105,0.023
5.24,0.105,0.023
5.28,0.105,0.011
5.31,0.07,0.023
5.34,0.14,0.011
5.37,0.105,0.023
5.41,0.07,0.023
5.44,0.07,0.023
5.47,0.105,0.023
5.5,0.07,0.011
5.54,0.07,0.011
5.57,0.105,0.023
5.6,0.07,0.023
5.63,0.105,0.023
5.67,0.07,0.023
5.7,0.105,0.011
5.73,0.07,0.011
5.76,0.105,0.011
5.8,0.14,0.011
5.83,0.105,0.023
5.86,0.07,0.011
5.89,0.07,0.011
5.93,0.07,0.023
5.96,0.105,0.011
5.99,0.07,0.023
6.02,0.07,0.011
6.06,0.07,0.011
6.09,0.105,0.011
6.12,0.105,0.011
6.15,0.07,0.011
6.19,0.07,0.011
6.22,0.105,0.023
6.25,0.07,0.011
6.28,0.07,0.011
6.32,0.105,0.011
6.35,0.105,0.023
6.38,0.07,0.023
6.41,0.07,0.011
6.45,0.105,0.011
6.48,0.105,0.011
6.51,0.07,0.011
6.55,0.105,0.011
6.58,0.07,0.023
6.61,0.105,0.011
6.64,0.07,0.023
6.68,0.07,0.023
6.71,0.105,0.023
6.74,0.07,0.011
6.77,0.07,0.011
6.81,0.07,0.023
6.84,0.105,0.023
6.87,0.07,0.011
6.9,0.07,0.011
6.94,0.07,0.023
6.97,0.07,0.023
7.0,0.07,0.023
7.03,0.07,0.011
7.07,0.105,0.023
7.1,0.105,0.023
7.13,0.105,0.023
7.16,0.07,0.023
7.2,0.105,0.023
7.23,0.105,0.023
7.26,0.105,0.023
7.29,0.105,0.023
7.33,0.07,0.011
7.36,0.105,0.023
7.39,0.07,0.023
7.42,0.105,0.023
7.46,0.07,0.011
7.49,0.07,0.023
7.52,0.105,0.011
7.55,0.105,0.011
7.59,0.105,0.023
7.62,0.07,0.023
7.65,0.105,0.011
7.68,0.14,0.023
7.72,0.105,0.011
7.75,0.105,0.023
7.78,0.105,0.023
7.82,0.105,0.011
7.85,0.105,0.011
7.88,0.07,0.011
7.91,0.07,0.011
7.95,0.105,0.011
7.98,0.105,0.011
8.01,0.105,0.023
8.04,0.105,0.011
8.08,0.07,0.023
8.11,0.105,0.011
