Trigger_Date,2023/08/04
Trigger_Time,T 11:24:12.466 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.562
Time (ms),Voltage (V),Current (A)
-8.89,59.521,6.106
-8.86,56.082,5.567
-8.82,52.643,5.063
-8.79,49.168,4.571
-8.76,45.554,3.975
-8.73,41.833,3.379
-8.69,38.078,2.818
-8.66,34.393,2.268
-8.63,30.743,1.707
-8.6,27.058,1.18
-8.56,23.444,0.653
-8.53,19.829,0.218
-8.5,16.319,-0.195
-8.47,12.915,-0.63
-8.43,9.335,-0.997
-8.4,4.808,-1.455
-8.37,0.632,-1.718
-8.34,-2.211,-2.131
-8.3,-4.633,-2.463
-8.27,-6.738,-2.784
-8.24,-9.756,-3.425
-8.21,-13.898,-4.124
-8.17,-18.671,-4.559
-8.14,-22.672,-4.823
-8.11,-25.128,-5.338
-8.08,-26.146,-6.22
-8.04,-27.094,-7.366
-8.01,-28.883,-8.603
-7.98,-31.796,-9.852
-7.95,-35.516,-11.032
-7.91,-39.693,-12.017
-7.88,-43.939,-12.796
-7.85,-48.08,-13.403
-7.81,-52.432,-13.85
-7.78,-56.679,-14.159
-7.75,-60.785,-14.365
-7.72,-64.645,-14.56
-7.68,-68.365,-14.801
-7.65,-71.945,-15.018
-7.62,-75.314,-15.202
-7.59,-78.613,-15.522
-7.55,-81.877,-15.9
-7.52,-85.141,-16.29
-7.49,-88.44,-16.748
-7.46,-91.774,-17.275
-7.42,-95.213,-17.733
-7.39,-98.477,-18.146
-7.36,-101.741,-18.512
-7.33,-104.97,-18.867
-7.29,-108.058,-19.154
-7.26,-111.006,-19.474
-7.23,-114.095,-19.921
-7.2,-117.288,-20.448
-7.16,-120.412,-20.861
-7.13,-123.605,-21.456
-7.1,-127.185,-22.132
-7.07,-130.835,-22.751
-7.03,-134.59,-23.45
-7.0,-138.521,-24.194
-6.97,-142.732,-25.007
-6.94,-146.417,-25.133
-6.9,-149.049,-24.836
-6.87,-151.331,-24.721
-6.84,-154.7,-25.408
-6.81,-158.034,-25.741
-6.77,-160.385,-25.901
-6.74,-162.666,-26.336
-6.71,-165.895,-27.024
-6.68,-169.229,-27.47
-6.64,-171.791,-27.734
-6.61,-174.248,-28.066
-6.58,-177.02,-28.341
-6.54,-179.617,-28.478
-6.51,-182.179,-28.857
-6.48,-184.917,-29.338
-6.45,-187.584,-29.67
-6.41,-190.076,-29.933
-6.38,-192.462,-30.243
-6.35,-194.919,-30.483
-6.32,-197.27,-30.667
-6.28,-199.376,-30.861
-6.25,-201.552,-31.216
-6.22,-203.903,-31.617
-6.19,-206.43,-31.904
-6.15,-208.746,-32.053
-6.12,-210.606,-32.27
-6.09,-212.431,-32.465
-6.06,-214.362,-32.568
-6.02,-216.397,-32.832
-5.99,-218.503,-33.278
-5.96,-220.714,-33.702
-5.93,-222.995,-34.126
-5.89,-225.311,-34.481
-5.86,-227.522,-34.71
-5.83,-229.593,-34.779
-5.8,-231.488,-34.928
-5.76,-233.559,-35.226
-5.73,-235.594,-35.455
-5.7,-237.349,-35.512
-5.67,-239.104,-35.833
-5.63,-241.28,-36.211
-5.6,-243.14,-36.268
-5.57,-244.473,-36.268
-5.54,-246.053,-36.52
-5.5,-248.088,-36.795
-5.47,-249.773,-36.956
-5.44,-251.176,-37.139
-5.41,-252.615,-37.253
-5.37,-254.16,-37.379
