Trigger_Date,2023/08/25
Trigger_Time,T 11:52:05.688 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.545
Time (ms),Voltage (V),Current (A)
-8.88,60.223,10.173
-8.85,56.96,9.909
-8.82,54.117,9.394
-8.79,50.572,8.752
-8.75,46.782,8.191
-8.72,42.851,7.767
-8.69,40.851,6.828
-8.66,43.202,4.536
-8.62,47.098,0.0
-8.59,35.797,-2.234
-8.56,25.9,-0.229
-8.53,27.304,-0.092
-8.49,22.917,-0.997
-8.46,15.582,-0.962
-8.43,8.633,-0.894
-8.4,2.948,-0.722
-8.36,-1.334,-0.573
-8.33,-3.334,-0.218
-8.3,-3.896,-0.344
-8.27,-6.808,-0.561
-8.23,-9.195,-0.733
-8.2,-12.038,-1.226
-8.17,-16.881,-1.501
-8.14,-21.724,-1.936
-8.1,-27.164,-2.451
-8.07,-32.358,-2.807
-8.04,-36.85,-3.013
-8.01,-39.342,-3.288
-7.97,-40.535,-3.918
-7.94,-41.904,-4.88
-7.91,-44.536,-5.59
-7.88,-47.765,-5.648
-7.84,-50.783,-5.579
-7.81,-53.801,-5.797
-7.78,-57.346,-6.255
-7.75,-61.241,-6.828
-7.71,-65.347,-7.549
-7.68,-69.489,-8.374
-7.65,-73.244,-9.222
-7.62,-76.788,-10.081
-7.58,-80.122,-10.757
-7.55,-83.351,-11.398
-7.52,-86.58,-12.051
-7.49,-89.598,-12.487
-7.45,-92.581,-12.842
-7.42,-95.775,-13.254
-7.39,-99.109,-13.644
-7.36,-102.513,-13.999
-7.32,-105.847,-14.48
-7.29,-109.216,-14.938
-7.26,-112.41,-15.431
-7.23,-115.569,-16.072
-7.19,-118.762,-16.633
-7.16,-122.026,-17.046
-7.13,-125.325,-17.71
-7.09,-128.448,-18.18
-7.06,-131.467,-18.65
-7.03,-134.52,-19.28
-7.0,-137.784,-19.841
-6.96,-141.223,-20.322
-6.93,-144.136,-20.643
-6.9,-146.628,-20.849
-6.87,-149.084,-21.296
-6.83,-151.997,-21.834
-6.8,-155.121,-22.132
-6.77,-157.999,-22.35
-6.74,-160.806,-22.819
-6.7,-163.754,-23.415
-6.67,-166.808,-23.85
-6.64,-169.65,-24.274
-6.61,-172.142,-24.824
-6.57,-174.774,-25.271
-6.54,-177.512,-25.683
-6.51,-180.319,-26.073
-6.48,-183.057,-26.565
-6.44,-185.443,-26.817
-6.41,-187.444,-27.012
-6.38,-189.549,-27.344
-6.35,-192.216,-27.848
-6.31,-194.989,-28.169
-6.28,-197.411,-28.341
-6.25,-199.727,-28.811
-6.22,-202.429,-29.464
-6.18,-204.851,-29.762
-6.15,-206.676,-29.91
-6.12,-208.536,-30.323
-6.09,-210.501,-30.621
-6.05,-212.502,-30.724
-6.02,-214.432,-30.873
-5.99,-216.292,-31.136
-5.96,-218.257,-31.411
-5.92,-220.398,-31.72
-5.89,-222.609,-32.144
-5.86,-224.785,-32.568
-5.83,-226.961,-33.072
-5.79,-229.277,-33.725
-5.76,-231.523,-34.115
-5.73,-233.173,-34.458
-5.7,-234.857,-34.836
-5.66,-236.577,-35.134
-5.63,-238.261,-35.214
-5.6,-239.63,-35.237
-5.57,-240.753,-35.295
-5.53,-242.157,-35.547
-5.5,-244.052,-35.856
-5.47,-246.053,-36.211
-5.44,-248.018,-36.658
-5.4,-249.913,-37.185
-5.37,-251.668,-37.723
-5.34,-253.352,-38.193
-5.3,-254.861,-38.491
-5.27,-256.265,-38.731
-5.24,-257.634,-38.995
-5.21,-259.108,-39.086
-5.17,-260.161,-39.109
-5.14,-261.214,-39.258
-5.11,-262.267,-39.419
-5.08,-263.179,-39.441
-5.04,-264.232,-39.567
-5.01,-265.425,-39.785
-4.98,-266.618,-40.014
-4.95,-267.706,-40.301
-4.91,-268.829,-40.621
-4.88,-270.093,-40.77
-4.85,-271.04,-40.954
-4.82,-271.848,-41.274
-4.78,-272.9,-41.549
-4.75,-273.953,-41.801
-4.72,-275.076,-42.053
-4.69,-276.41,-42.374
-4.65,-277.708,-42.683
-4.62,-278.691,-43.142
-4.59,-279.779,-43.52
-4.56,-280.762,-43.68
-4.52,-281.569,-43.898
-4.49,-282.516,-43.966
-4.46,-283.218,-43.966
-4.43,-283.675,-44.253
-4.39,-284.201,-44.253
-4.36,-285.114,-44.436
-4.33,-285.78,-44.619
-4.3,-286.552,-44.745
-4.26,-286.903,-44.86
-4.23,-286.833,-44.7
-4.2,-286.728,-44.631
-4.17,-287.149,-44.585
-4.13,-287.149,-44.413
-4.1,-286.728,-44.184
-4.07,-286.307,-44.001
-4.04,-286.096,-43.84
-4.0,-285.64,-43.611
-3.97,-285.219,-43.394
-3.94,-284.868,-43.21
-3.91,-284.412,-43.222
-3.87,-284.096,-43.084
-3.84,-284.096,-43.107
-3.81,-283.92,-43.359
-3.78,-283.429,-43.359
-3.74,-282.481,-43.153
-3.71,-281.92,-43.073
-3.68,-281.393,-42.958
-3.65,-280.551,-42.58
-3.61,-279.288,-42.26
-3.58,-278.2,-42.145
-3.55,-277.322,-41.904
-3.51,-276.62,-41.595
-3.48,-275.357,-41.366
-3.45,-273.602,-41.022
-3.42,-272.234,-40.919
-3.38,-271.637,-40.828
