Trigger_Date,2023/09/13
Trigger_Time,T 09:36:22.808 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.546
Time (ms),Voltage (V),Current (A)
-9.93,-162.561,-22.533
-9.89,-160.21,-21.949
-9.86,-156.946,-21.491
-9.83,-153.717,-21.227
-9.8,-151.12,-20.757
-9.76,-148.277,-20.059
-9.73,-144.592,-19.406
-9.7,-140.697,-18.959
-9.67,-137.608,-18.581
-9.63,-135.257,-17.962
-9.6,-132.274,-17.39
-9.57,-128.94,-17.149
-9.54,-126.132,-16.885
-9.5,-123.605,-16.313
-9.47,-120.377,-15.694
-9.44,-117.113,-15.27
-9.41,-114.165,-14.869
-9.37,-111.217,-14.377
-9.34,-107.988,-13.964
-9.31,-104.654,-13.689
-9.28,-102.022,-13.3
-9.24,-99.074,-12.67
-9.21,-95.529,-12.063
-9.18,-92.055,-11.593
-9.15,-89.563,-11.02
-9.11,-86.72,-10.344
-9.08,-82.86,-9.863
-9.05,-79.28,-9.565
-9.02,-76.508,-9.13
-8.98,-73.138,-8.5
-8.95,-68.716,-8.111
-8.92,-65.207,-7.881
-8.89,-62.75,-7.286
-8.85,-59.767,-6.541
-8.82,-55.907,-6.083
-8.79,-52.222,-5.854
-8.75,-49.203,-5.373
-8.72,-45.905,-4.628
-8.69,-41.798,-4.021
-8.66,-37.657,-3.677
-8.62,-34.674,-3.872
-8.59,-34.92,-4.937
-8.56,-34.674,-4.525
-8.53,-27.234,-1.879
-8.49,-17.302,-1.168
-8.46,-13.266,-0.79
-8.43,-8.072,0.252
-8.4,-1.825,-0.344
-8.36,0.246,-0.367
-8.33,0.877,1.1
-8.3,1.93,2.509
-8.27,5.194,2.921
-8.23,8.318,3.757
-8.2,11.09,5.052
-8.17,13.196,6.003
-8.14,17.232,7.492
-8.1,23.338,8.523
-8.07,27.515,9.153
-8.04,30.147,9.921
-8.01,33.832,10.665
-7.97,38.885,10.608
-7.94,42.57,10.218
-7.91,45.132,10.459
-7.88,49.133,10.757
-7.84,53.696,10.551
-7.81,56.679,10.482
-7.78,59.135,11.078
-7.75,62.891,11.627
-7.71,66.856,11.776
-7.68,69.348,12.086
-7.65,71.91,12.842
-7.62,75.946,13.311
-7.58,79.42,13.495
-7.55,81.842,14.033
-7.52,85.106,14.675
-7.49,89.317,15.007
-7.45,92.23,15.11
-7.42,94.511,15.648
-7.39,97.81,16.233
-7.36,101.776,16.439
-7.32,104.759,16.679
-7.29,106.9,17.401
-7.26,110.269,18.214
-7.23,113.884,18.615
-7.19,116.656,19.028
-7.16,119.078,19.612
-7.13,121.991,20.162
-7.1,124.763,20.505
-7.06,127.325,20.998
-7.03,130.695,21.559
-7.0,134.415,22.018
-6.96,137.784,22.43
-6.93,140.381,22.957
-6.9,142.978,23.553
-6.87,146.417,23.896
-6.83,149.611,23.988
-6.8,151.822,24.309
-6.77,154.208,24.939
-6.74,157.683,25.317
-6.7,160.771,25.374
-6.67,163.158,25.672
-6.64,165.825,26.05
-6.61,169.089,26.164
-6.57,171.37,26.107
-6.54,172.668,26.588
-6.51,175.476,27.264
-6.48,179.021,27.551
-6.44,181.021,27.86
-6.41,182.355,28.593
-6.38,185.303,29.086
-6.35,188.461,28.948
-6.31,189.9,29.017
-6.28,191.444,29.624
-6.25,194.638,30.002
-6.22,197.27,30.014
-6.18,198.639,30.22
-6.15,200.639,30.689
-6.12,203.236,30.793
-6.09,204.956,30.85
-6.05,206.255,31.193
-6.02,208.43,31.571
-5.99,210.782,31.789
-5.96,212.537,32.087
-5.92,214.256,32.58
-5.89,216.222,33.118
-5.86,217.731,33.53
-5.83,219.485,33.897
-5.79,221.696,34.241
